columns	columns	columns	columns	
Пн	08:20-09:50\n3, 5, 7, 9, 11, 13, 15, 17	2306/1 (бывш. 304) ауд.\nКронверкский пр., д.49, лит.А	Основы профессиональной деятельности(Лаб)\nнечетная неделя\nБлохина Елена Николаевна	Очно - дистанционный	
	08:20-09:50\n2, 4, 6, 8, 10, 12, 14, 16	2306/1 (бывш. 304) ауд.\nКронверкский пр., д.49, лит.А	Программирование(Лаб)\nчетная неделя\nСорокин Роман Борисович	Очно - дистанционный	
	10:00-11:30\n2, 4, 6, 8, 10, 12, 14, 16	2306/1 (бывш. 304) ауд.\nКронверкский пр., д.49, лит.А	Программирование(Лаб)\nчетная неделя\nСорокин Роман Борисович	Очно - дистанционный	
	10:00-11:30\n3, 5, 7, 9, 11, 13, 15, 17	2306/1 (бывш. 304) ауд.\nКронверкский пр., д.49, лит.А	Основы профессиональной деятельности(Лаб)\nнечетная неделя\nБлохина Елена Николаевна	Очно - дистанционный	
